,Show_ID_tmdb,name_tmdb,Genre,Overview_Text_tvdb,Vote_Average_tmdb,Vote_Count_tmdb
25,85702,PEN15,[35],"Middle school as it really happened. Maya Erskine and Anna Konkle star in this adult comedy, playing versions of themselves as thirteen-year-old outcasts in the year 2000, surrounded by actual thirteen-year-olds, where the best day of your life can turn into your worst with the stroke of a gel pen.",8.3,59
26,4546,Curb Your Enthusiasm,[35],"The off-kilter, unscripted comic vision of Larry David, who plays himself in a parallel universe in which he can't seem to do anything right, and, by his standards, neither can anyone else.",8.1,514
27,1104,Mad Men,[18],"Mad Men is set in the 1960s, initially at the fictional Sterling Cooper advertising agency on Madison Avenue in New York City, and later at the newly created firm, Sterling Cooper Draper Pryce, located nearby in the Time-Life Building, at 1271 Avenue of the Americas. According to the show's pilot, the phrase ""mad men"" was a slang term coined in the 1950s by advertisers working on Madison Avenue to refer to themselves. The focal point of the series is Don Draper, creative director at Sterling Cooper and a founding partner at Sterling Cooper Draper Pryce, and the people in his life, both in and out of the office. The plot focuses on the business of the agencies as well as the personal lives of the characters, regularly depicting the changing moods and social mores of the United States in the 1960s.",8.1,839
28,1414,The Shield,"[80, 18, 10759]",The story of an inner-city Los Angeles police precinct where some of the cops aren't above breaking the rules or working against their associates to both keep the streets safe and their self-interests intact.,8.1,494
29,59659,Halt and Catch Fire,[18],"During the rise of the PC era in the early 1980s, an unlikely trio - a visionary, an engineer and a prodigy - take personal and professional risks in the race to build a computer that will change the world as they know it.",8.0,333
30,1407,Homeland,"[18, 10759, 80, 10768]","CIA officer Carrie Mathison is tops in her field despite being bipolar, which makes her volatile and unpredictable. With the help of her long-time mentor Saul Berenson, Carrie fearlessly risks everything, including her personal well-being and even sanity, at every turn.",7.5,1684
31,76331,Succession,"[18, 35]",The lives of the Roy family as they contemplate their future once their aging father begins to step back from the media and entertainment conglomerate they control.,8.1,415
32,78154,My Brilliant Friend,[18],"When the most important friend in her life seems to have disappeared without a trace, Elena Greco, a now-elderly woman immersed in a house full of books, turns on her computer and starts writing the story of their friendship.",8.4,81
33,69478,The Handmaid's Tale,"[10765, 18]","Set in a dystopian future, a woman is forced to live as a concubine under a fundamentalist theocratic dictatorship. A TV adaptation of Margaret Atwood's novel.",8.2,1881
34,62142,The Returned,"[18, 10765]","A small town that is turned upside down when several local people, who have long been presumed dead, suddenly reappear; their presence creates both positive and negative consequences. As families are reunited, the lives of those who were left behind are challenged both physically and emotionally.",6.8,108
35,1101,My So-Called Life,"[18, 35]","The life of a 15 year-old high school student, whose angst-ridden journey through adolescence, friendship, parents, and life teaches her what it means to grow up.",7.6,93
36,44037,The Hollow Crown,"[18, 36]","The Hollow Crown is a series of British television films featuring William Shakespeare's History Plays.

The first Season is an adaptation of Shakespeare's second historical tetralogy, the Henriad: Richard II, Henry IV, Part I and Henry IV, Part II (treated as one film in two parts in the series) and Henry V.

The Second Season is subtitled ""The Wars of the Roses"" as a reference to its scope. It is based on Shakespeare's first tetralogy: Henry VI: Part I, Henry VI: Part II, Henry VI: Part III (treated as two films in the series) and Richard III.",7.6,40
37,32962,Louie,"[35, 18]",Louis C.K. stars as a fictionalized version of himself; a comedian and newly divorced father raising his two daughters in New York City.,7.7,370
38,154359,This Is Going to Hurt,"[35, 18]",The unvarnished truth of life as a doctor working in obstetrics and gynaecology.,8.6,25
39,64254,Master of None,"[35, 18]","30-year-old New York actor Dev takes on such pillars of maturity as the first big job, a serious relationship, and busting sex offenders on the subway.",7.6,351
40,61222,BoJack Horseman,"[35, 18, 16]","Meet the most beloved sitcom horse of the 90s - 20 years later. BoJack Horseman was the star of the hit TV show ""Horsin' Around,"" but today he's washed up, living in Hollywood, complaining about everything, and wearing colorful sweaters.",8.6,1547
41,42445,Borgen,[18],"40-year old political leader Birgitte Nyborg secures her party a landslide victory through her idealism and huge effort, then faces the biggest challenge of her life: how most effectively to use the newly won seats, and how far she is willing to go in order to gain as much influence as possible.",8.1,135
42,1436,Justified,"[80, 18]","A character drama based on the 2001 Elmore Leonard short story ""Fire in the Hole."" Leonard's tale centers around U.S. Marshal Raylan Givens of Kentucky, a quiet but strong-willed official of the law. The tale covers his high-stakes job, as well as his strained relationships with his ex-wife and father.",8.0,490
43,1427,Broadchurch,"[80, 18, 9648]","The murder of a young boy in a small coastal town brings a media frenzy, which threatens to tear the community apart.",7.9,562
44,8724,Frozen Planet,[99],"David Attenborough travels to the end of the earth, taking viewers on an extraordinary journey across the polar regions of our planet.",8.4,191
45,19885,Sherlock,"[80, 18, 9648]",A modern update finds the famous sleuth and his doctor partner solving crime in 21st century London.,8.5,3703
46,33907,Downton Abbey,[18],"A chronicle of the lives of the aristocratic Crawley family and their servants in the post-Edwardian era—with great events in history having an effect on their lives and on the British social hierarchy.

",8.1,655
47,77397,The Zen Diaries of Garry Shandling,[99],"The story of legendary comedian Garry Shandling, featuring interviews from nearly four dozen friends, family and colleagues; four decades’ worth of television appearances; and a lifetime of personal journals, private letters and home audio and video footage.",8.1,14
48,118876,Last Chance U: Basketball,[99],Hit the hardwood in East Los Angeles as a coach with strong convictions leads young men who hope to fulfill major college potential.,7.7,46
49,74204,Big Mouth,"[35, 16]",Teenage friends find their lives upended by the wonders and horrors of puberty in this edgy comedy from real-life pals Nick Kroll and Andrew Goldberg.,7.9,724
50,66276,The Night Of,"[80, 18, 9648]","After a night of partying with a female stranger, a man wakes up to find her stabbed to death and is charged with her murder.",7.9,667
51,79525,The Last Dance,[99],"A 10-part documentary chronicling the untold story of Michael Jordan and the Chicago Bulls dynasty with rare, never-before-seen footage and sound from the 1997-98 championship season – plus over 100 interviews with famous figures and basketball’s biggest names.",8.2,938
52,14531,The Corner,"[18, 80]","The Corner presents the world of Fayette Street using real names and real events. The miniseries tells the true story of men, women and children living amid the open-air drug markets of West Baltimore. It chronicles a year in the lives of 15-year-old DeAndre McCullough, his mother Fran Boyd, and his father Gary McCullough, as well as other addicts and low-level drug dealers caught up in the twin-engine economy of heroin and cocaine.",7.9,47
53,4344,Rescue Me,[18],"Rescue Me revolves around the lives of the men in a New York City firehouse, the crew of 62 Truck. Examining the fraternal nature and relationships of firefighters, the series tackles the daily drama of the life-and-death situations associated with being a firefighter, while exploring the ways the men use dark humor to protect their true emotions.",7.8,118
54,67883,Insecure,"[35, 18]",Follows the awkward experiences and racy tribulations of a modern-day African-American woman.,7.6,148
55,46434,The Vietnam War,"[99, 10768]","An immersive 360-degree narrative telling the epic story of the Vietnam War as it has never before been told on film. Featuring testimony from nearly 80 witnesses, including many Americans who fought in the war and others who opposed it, as well as Vietnamese combatants and civilians from both the winning and losing sides.",8.4,107
56,2947,Veep,[35],"A look into American politics, revolving around former Senator Selina Meyer who finds being Vice President of the United States is nothing like she expected and everything everyone ever warned her about.",7.4,295
57,64513,American Crime Story,"[80, 18]",An anthology series centered around some of history's most famous criminal investigations.,7.5,746
58,90877,A Black Lady Sketch Show,[35],"A narrative series set in a limitless magical reality full of dynamic, hilarious characters and celebrity guests presenting sketches performed by a core cast of black women.",7.6,21
59,1424,Orange Is the New Black,"[35, 18]","A crime she committed in her youthful past sends Piper Chapman to a women's prison, where she trades her comfortable New York life for one of unexpected camaraderie and conflict in an eccentric group of fellow inmates.",7.7,1893
60,707,Boomtown,"[9648, 18, 10759]","Each episode of this series, set in contemporary Los Angeles, examines one crime from many different viewpoints - uniformed cops, detectives, witnesses, the media, the fire department and rescue squad, even the criminals themselves.",8.6,7
61,58937,Masters of Sex,[18],"William Masters and Virginia Johnson are real-life pioneers of the science of human sexuality. Their research touched off the sexual revolution and took them from a midwestern teaching hospital to the cover of Time magazine and multiple appearances on Johnny Carson's couch. He is a brilliant scientist out of touch with his own feelings, and she is a single working mother ahead of her time. The series chronicles their unusual lives, romance, and unlikely pop culture trajectory.",7.0,279
62,97363,Visible: Out On Television,[99],"Explore the history of the LGBTQ movement through the lens of TV in this five-part docuseries. Combining archival footage with new interviews, it looks at homophobia, invisibility, the evolution of LGBTQ characters, and coming out in the TV industry.",6.1,8
63,61585,Olive Kitteridge,[18],"A look at a seemingly placid New England town that is actually wrought with illicit affairs, crime and tragedy, all told through the lens of Olive, whose wicked wit and harsh demeanor mask a warm but troubled heart and staunch moral center. The story spans 25 years and focuses on Olive's relationships with her husband, Henry, the good-hearted and kindly town pharmacist; their son, Christopher, who resents his mother's approach to parenting; and other members of their community.",7.6,177
64,4589,Arrested Development,[35],"The story of a wealthy family that lost everything, and the one son who had no choice but to keep them all together.",8.0,957
65,1435,The Good Wife,[18],Alicia Florrick boldly assumes full responsibility for her family and re-enters the workforce after her husband's very public sex and political corruption scandal lands him in jail.,7.5,381
66,60839,Broad City,"[35, 18]","Broad City follows two women throughout their daily lives in New York City, making the smallest and mundane events hysterical and disturbing to watch all at the same time.",7.5,143
67,104002,Fraggle Rock: Back to the Rock,"[10762, 16, 35]","Join Gobo, Red, Wembley, Mokey, Boober, and new Fraggle friends on hilarious, epic adventures about the magic that happens when we celebrate and care for our interconnected world.",9.6,5
68,4278,Friday Night Lights,[18],"The trials and triumphs of life in the small town of Dillon, Texas, where high school football is everything.",8.1,191
69,40008,Hannibal,"[18, 80]","Both a gift and a curse, Graham has the extraordinary ability to think like his prey—he sees what they see, feels what they feel. But while Graham is pursuing an especially troubling, cannibalistic murderer, Special Agent Jack Crawford teams him with a highly respected psychiatrist – a man with a taste for the criminal minded – Dr. Hannibal Lecter.",8.2,1757
70,1621,Boardwalk Empire,"[80, 18]","Atlantic City at the dawn of Prohibition is a place where the rules don't apply. And the man who runs things -- legally and otherwise -- is the town's treasurer, Enoch ""Nucky"" Thompson, who is equal parts politician and gangster.",8.0,761
71,65646,The Roosevelts: An Intimate History,"[99, 36]","Chronicles the lives of Theodore, Franklin and Eleanor Roosevelt, three members of the most prominent and influential family in American politics. It is the first time in a major documentary television series that their individual stories have been interwoven into a single narrative. This seven-part, fourteen hour film follows the Roosevelts for more than a century, from Theodore’s birth in 1858 to Eleanor’s death in 1962.",8.7,23
72,14266,Brooklyn Bridge,"[18, 35]","Brooklyn Bridge is an American television program which aired on CBS between 1991 and 1993. It is about a Jewish American family living in Brooklyn in the middle 1950s. The premise was partially based on the childhood of executive producer and creator Gary David Goldberg.

Brooklyn Bridge won a Golden Globe and was nominated for an Emmy Award as for outstanding television series in 1992, after its first season.

The cast was led by Marion Ross; Art Garfunkel performed the theme song, which was titled ""Just Over The Brooklyn Bridge.""

In 1997, ""When Irish Eyes Are Smiling"" was ranked #46 on TV Guide's 100 Greatest Episodes of All Time.",9.0,1
73,84977,Russian Doll,"[35, 18]",Nadia keeps dying and reliving her 36th birthday party. She's trapped in a surreal time loop -- and staring down the barrel of her own mortality.,7.5,453
74,1973,24,"[10759, 18]","24 is an American television series produced for the Fox network and syndicated worldwide, starring Kiefer Sutherland as Counter Terrorist Unit agent Jack Bauer. Each 24-episode season covers 24 hours in the life of Bauer, using the real time method of narration.",7.8,1105
75,2382,Freaks and Geeks,"[35, 18]","High school mathlete Lindsay Weir rebels and begins hanging out with a crowd of burnouts (the ""freaks""), while her brother Sam Weir navigates a different part of the social universe with his nerdy friends (the ""geeks"").",8.1,517
76,124101,Hacks,"[35, 18]","Explore a dark mentorship that forms between Deborah Vance, a legendary Las Vegas comedian, and an entitled, outcast 25-year-old.",7.3,76
77,88510,Back to Life,"[35, 18]","When Miri Matteson returns home after eighteen years, can she integrate back into her old life? With a terrible event from her past hanging over her, it won’t be easy.",7.4,27
78,2693,Extras,[35],"Andy Millman gave up his day job five years ago in the hope of achieving the big time, but he’s yet to land a speaking part, let alone saunter down the red carpet to pick up an Oscar. He remains optimistic however, as rubbing shoulders with the A-list on-set only serves to reinforce his belief that the big time is just a job or two away.",7.8,259
79,17967,Treme,[18],"Tremé takes its name from a neighborhood of New Orleans and portrays life in the aftermath of the 2005 hurricane. Beginning three months after Hurricane Katrina, the residents of New Orleans, including musicians, chefs, Mardi Gras Indians, and other New Orleanians struggle to rebuild their lives, their homes and their unique culture.",8.1,86
80,2004,Malcolm in the Middle,"[10751, 35, 18]","A gifted young teen tries to survive life with his dimwitted, dysfunctional family.",8.5,3127
81,63593,Documentary Now!,[35],"Loving parodies of some of the world's best-known documentaries. Each episode is shot in a different style of documentary filmmaking, and honors some of the most important stories that didn't actually happen.",7.6,38
82,102281,Lenox Hill,[99],From birth to brain surgery: This docuseries provides an intimate look at the lifesaving work of four doctors at Lenox Hill Hospital in NYC.,6.8,106
83,88728,I Think You Should Leave with Tim Robinson,[35],There is no such thing as an ordinary interaction in this offbeat sketch comedy series that features a deep roster of guest stars.,6.6,45
84,203281,Borgen - Power & Glory,"[18, 10768]",Foreign Minister Birgitte Nyborg finds her career in jeopardy when a dispute over oil in Greenland threatens to become an international crisis.,8.4,7
85,46638,Top of the Lake,"[80, 18, 9648]","A woman haunted by her past, Detective Robin Griffin, investigates complex and unsettling cases.",7.1,246
86,2822,Felicity,[18],"Felicity Porter, a sensitive and intelligent girl from the San Francisco Bay Area, decides to give up a slot at Stanford University's pre-med program to follow her long time crush to college in New York City. Things get even more complicated when she meets her dorm's resident advisor and they fall in love.",6.7,53
87,66573,The Good Place,"[10765, 35]","Eleanor Shellstrop, an ordinary woman who, through an extraordinary string of events, enters the afterlife where she comes to realize that she hasn't been a very good person. With the help of her wise afterlife mentor, she's determined to shed her old way of living and discover the awesome (or at least the pretty good) person within.",8.0,943
88,606,"Ed, Edd n Eddy","[16, 35, 10751]","Three adolescent boys, Ed, Edd ""Double D"", and Eddy, collectively known as ""the Eds"", constantly invent schemes to make money from their peers to purchase their favorite confectionery, jawbreakers. Their plans usually fail though, leaving them in various predicaments.",7.9,564
89,83605,Mrs. America,[18],"The true story of the movement to ratify the Equal Rights Amendment, and the unexpected backlash led by a conservative woman named Phyllis Schlafly, aka “the sweetheart of the silent majority.”",7.7,76
90,110382,Pachinko,[18],"Follow the hopes and dreams of four generations of a Korean immigrant family beginning with a forbidden love and crescendos into a sweeping saga that journeys between Korea, Japan and America to tell the unforgettable story of war and peace, love and loss, triumph and reckoning.",8.3,54
91,62335,UnREAL,"[18, 35]","Set against the backdrop of a hit dating competition show, ""UnREAL"" is led by Rachel, a young staffer whose sole job is to manipulate her relationships with and among the contestants to get the vital dramatic and outrageous footage the program's dispassionate executive producer demands. What ensues is a humorous, yet vexing, look at what happens in the world of unscripted television, where being a contestant can be vicious and producing it is a whole other reality.",6.7,119
92,79356,Tuca & Bertie,"[35, 16]",Free-spirited toucan Tuca and self-doubting song thrush Bertie are best friends -- and birds -- who guide each other through life's ups and downs.,7.2,61
93,65494,The Crown,[18],"The gripping, decades-spanning inside story of Her Majesty Queen Elizabeth II and the Prime Ministers who shaped Britain's post-war destiny. 

The Crown tells the inside story of two of the most famous addresses in the world – Buckingham Palace and 10 Downing Street – and the intrigues, love lives and machinations behind the great events that shaped the second half of the 20th century. Two houses, two courts, one Crown.",8.2,1337
94,46648,True Detective,[18],"An American anthology police detective series utilizing multiple timelines in which investigations seem to unearth personal and professional secrets of those involved, both within or outside the law.",8.3,2207
95,87382,Ramy,"[35, 18]","Ramy, the son of Egyptian immigrants, is on a spiritually conflicting journey in his New Jersey neighborhood, pulled between his Muslim community that thinks life is a constant test, his millennial friends who think life is full of endless possibilities, and a God who's always watching.",7.4,65
96,114564,Painting With John,"[99, 35]","Part meditative tutorial, part fireside chat, each episode finds artist John Lurie ensconced at his worktable, where he hones his intricate watercolor techniques and shares his reflections on what he’s learned about life.",8.3,8
97,4613,Band of Brothers,"[18, 10768]","Drawn from interviews with survivors of Easy Company, as well as their journals and letters, Band of Brothers chronicles the experiences of these men from paratrooper training in Georgia through the end of the war. As an elite rifle company parachuting into Normandy early on D-Day morning, participants in the Battle of the Bulge, and witness to the horrors of war, the men of Easy knew extraordinary bravery and extraordinary fear - and became the stuff of legend. Based on Stephen E. Ambrose's acclaimed book of the same name.",8.4,2617
98,106308,Somebody Somewhere,"[35, 18]","Sam is a true Kansan on the surface but beneath it all struggles to fit the hometown mold. As she grapples with loss and acceptance, singing is Sam’s saving grace and leads her on a journey to discover herself and a community of outsiders that don’t fit in but don’t give up, showing that finding your people, and finding your voice, is possible. Anywhere. Somewhere.",8.1,12
99,93812,The Great,"[18, 35]","A genre-bending, anti-historical ride through 18th century Russia following the rise of Catherine the Nothing to Catherine the Great and her explosive relationship with husband Peter, the emperor of Russia.",8.2,689
100,74630,Howards End,[18],"The social and class divisions in early 20th century England through the intersection of three families - the wealthy Wilcoxes, the gentle and idealistic Schlegels and the lower-middle class Basts.",7.5,34
101,16997,The Pacific,"[18, 10759, 10768]","Track the intertwined real-life stories of three U.S. Marines – Robert Leckie, John Basilone, and Eugene Sledge – across the vast canvas of the Pacific Theater during World War II. A companion piece to the 2001 miniseries Band of Brothers.",7.7,1899
102,60573,Silicon Valley,[35],"In the high-tech gold rush of modern Silicon Valley, the people most qualified to succeed are the least capable of handling success. Partially inspired by Mike Judge’s own experiences as a Silicon Valley engineer in the late ‘80s, Silicon Valley is an American sitcom that centers around six programmers who are living together and trying to make it big in the Silicon Valley.",8.1,1179
103,72750,Killing Eve,"[80, 18]","A security consultant hunts for a ruthless assassin. Equally obsessed with each other, they go head to head in an epic game of cat-and-mouse.",8.1,909
104,81355,When They See Us,[18],Five teens from Harlem become trapped in a nightmare when they're falsely accused of a brutal attack in Central Park.,8.2,527
105,65817,The Deuce,[18],"The story of the legalization and subsequent rise of the porn industry in New York’s Times Square from the early ’70s through the mid ’80s, exploring the rough-and-tumble world that existed there until the rise of HIV, the violence of the cocaine epidemic and the renewed real estate market ended the bawdy turbulence of the area.",7.7,250
106,61697,Wolf Hall,[18],"Following the fact-based historical book of the same name, this drama follows the rise of Cromwell as he becomes Henry the VIII's closest advisor.  England in the 1520s is a heartbeat from disaster. If the King dies without a male heir, the country could be destroyed by civil war. Henry VIII wants to annul his marriage of twenty years and marry Anne Boleyn. The Pope and most of Europe oppose him. Into this impasse steps Thomas Cromwell: a wholly original man, a charmer, and a bully, both idealist and opportunist, astute in reading people, and implacable in his ambition. But Henry is volatile: one day tender, one day murderous. Cromwell helps him break the opposition, but what will be the price of his triumph?",7.8,70
107,102619,I May Destroy You,[18],"Set in London, where gratification is only an app away, the story centers on Arabella,  a carefree, self-assured Londoner with a group of great friends, a boyfriend in Italy, and a burgeoning writing career. But when her drink is spiked, she must question and rebuild every element of her life.",7.8,96
108,91740,This Way Up,[35],A young woman puts her life back together after suffering from a nervous breakdown.,7.2,32
109,4607,Lost,"[10759, 9648]","Stripped of everything, the survivors of a horrific plane crash  must work together to stay alive. But the island holds many secrets.",7.9,2859
110,63161,Crazy Ex-Girlfriend,[35],"Rebecca Bunch is a successful, driven, and possibly crazy young woman who impulsively gives up everything - her partnership at a prestigious law firm and her upscale apartment in Manhattan - in a desperate attempt to find love and happiness in that exotic hotbed of romance and adventure: suburban West Covina, California.",6.9,120
111,16208,Men of a Certain Age,"[35, 18]","Men of a Certain Age is an American comedy-drama television series, which premiered on TNT on December 7, 2009. The hour-long program stars Ray Romano, Andre Braugher and Scott Bakula as three best friends in their late forties dealing with the realities of middle age. It won a Peabody Award in 2010. On July 15, 2011, TNT cancelled the series after two seasons.",7.5,19
112,86340,Undone,"[16, 10765, 18, 9648]","After getting into a near fatal car accident, Alma discovers she has a new relationship with time and uses this ability to find out the truth about her father’s death.",7.7,152
113,67195,Legion,"[10759, 10765]","David Haller, AKA Legion, is a troubled young man who may be more than human. Diagnosed as schizophrenic, David has been in and out of psychiatric hospitals for years. But after a strange encounter with a fellow patient, he’s confronted with the possibility that the voices he hears and the visions he sees might be real.",7.6,1089
114,10378,The Adam Carolla Project,[35],The Adam Carolla Project is an American reality series featuring the comedian Adam Carolla. The series aired on TLC from October to December 2005.,0.0,0
115,87917,For All Mankind,"[10765, 18, 10768]","Explore an aspirational world where NASA and the space program remained a priority and a focal point of our hopes and dreams as told through the lives of NASA astronauts, engineers, and their families.",7.6,320
116,95171,Prehistoric Planet,[99],"Experience the wonders of our world like never before in this epic docuseries from Jon Favreau and the producers of Planet Earth. Travel back 66 million years to when majestic dinosaurs and extraordinary creatures roamed the lands, seas, and skies.",8.5,147
117,128876,The Beatles: Get Back,[99],"The three-part documentary series, compiled from over 60 hours of unseen footage, captures the warmth, camaraderie, and creative genius that defined the legacy of music’s most iconic foursome. The series also includes – for the first time in its entirety – The Beatles’ final performance at London’s Savile Row.",8.5,235
118,156988,The Undeclared War,"[10768, 18, 10765]","In the post-pandemic world of 2024 during an upcoming British general election involving the UK’s first Black Conservative prime minister, a leading team of analysts at the heart of the UK’s NSA-style spy agency GCHQ attempt to ward off a cyber-attack on the country’s electoral system.",6.7,7
119,97546,Ted Lasso,"[35, 18]","Ted Lasso, an American football coach, moves to England when he’s hired to manage a soccer team—despite having no experience. With cynical players and a doubtful town, will he get them to see the Ted Lasso Way?",8.5,637
120,61014,The Knick,[18],"Set in downtown New York in 1900, 'The Knick' is centered on the Knickerbocker Hospital and the groundbreaking surgeons, nurses and staff who work there, pushing the bounds of medicine in a time of astonishingly high mortality rates and zero antibiotics.

John Thackery is a brilliant surgeon pioneering new methods in the field, despite his secret addiction to cocaine. He leads a team of doctors including his protégé Dr. Everett Gallinger; the young Dr. Bertie Chickering Jr. and Dr. Algernon Edwards, a promising surgeon who's been recently thrust upon him. The lively cast of characters at the hospital also includes Cornelia Robertson, the daughter of its benefactor, Captain August Robertson; surly ambulance driver Tom Cleary; Lucy Elkins; a fresh-faced nurse from the country; the crooked hospital administrator Herman Barrow; and Sister Harriet, a nun who isn't afraid to speak her mind.",8.0,315
121,63248,Show Me a Hero,"[80, 18, 10768]","Mayor Nick Wasicsko took office in 1987 during Yonkers' worst crisis when federal courts ordered public housing to be built in the white, middle class side of town, dividing the city in a bitter battle fueled by fear, racism, murder and politics.",7.3,125
122,87017,P-Valley,"[18, 80]","Down deep in the Mississippi Delta, Trap music meets film noir in this kaleidoscopic story of a little-strip-club-that-could and the big characters who come through its doors—the hopeful, the lost, the broken, the ballers, the beautiful, and the damned.",7.8,161
