index,author,review_source,title,season,release_date,review_length
27,Melanie McFarland,Salon,Atlanta,2.0,1-Mar-18,487
28,Caroline Framke,Vox.com,Atlanta,2.0,1-Mar-18,403
29,Stereo Williams,The Daily Beast,Atlanta,2.0,1-Mar-18,387
30,Alan Sepinwall,UPROXX,Atlanta,2.0,1-Mar-18,460
31,Matt Zoller Seitz,New York Magazine (Vulture),Atlanta,2.0,1-Mar-18,395
32,Brian Tallerico,RogerEbert.com,Atlanta,2.0,1-Mar-18,448
33,Allison Keene,Collider,Atlanta,2.0,1-Mar-18,521
34,Barry Garron,The Hollywood Reporter,The Sopranos,3.0,4-Mar-01,334
35,Dan Fienberg,The Hollywood Reporter,America to Me,1.0,26-Aug-18,316
36,Brian Tallerico,RogerEbert.com,America to Me,1.0,26-Aug-18,344
37,Marvin Kitman,Newsday,Twin Peaks,1.0,8-Apr-90,323
38,Rick Cogan,Chicago Tribune,Twin Peaks,1.0,8-Apr-90,312
39,Tom Shales,Washington Post,Twin Peaks,1.0,8-Apr-90,350
40,Jeff Jensen,Entertainment Weekly,O.J.: Made in America,1.0,11-Jun-16,326
41,Daniel D'Addario,Time,O.J.: Made in America,1.0,11-Jun-16,378
42,Gail Pennington,St. Louis Post-Dispatch,O.J.: Made in America,1.0,11-Jun-16,398
43,David Sims,The Atlantic,O.J.: Made in America,1.0,11-Jun-16,300
44,Dan Fienberg,The Hollywood Reporter,O.J.: Made in America,1.0,11-Jun-16,306
45,Jen Chaney,New York Magazine (Vulture),What We Do in the Shadows (2019),3.0,2-Sep-21,448
46,Ross Bonaime,Collider,What We Do in the Shadows (2019),3.0,2-Sep-21,328
47,Brian Tallerico,RogerEbert.com,What We Do in the Shadows (2019),3.0,2-Sep-21,434
48,Renee Scolaro Mora,PopMatters,Breaking Bad,4.0,17-Jul-11,325
49,David Zurawik,Baltimore Sun,The Sopranos,6.0,12-Mar-06,367
50,David Hinckley,New York Daily News,The Sopranos,6.0,12-Mar-06,376
51,Ray Richmond,The Hollywood Reporter,The Sopranos,6.0,12-Mar-06,334
52,Maureen Ryan,Variety,Better Things,2.0,14-Sep-17,454
53,Ken Tucker,Yahoo TV,Better Things,2.0,14-Sep-17,324
54,Steven Scaife,Slant Magazine,Fleabag,2.0,4-Mar-19,394
55,Allison Shoemaker,RogerEbert.com,Fleabag,2.0,4-Mar-19,352
56,Willa Paskin,Slate,Fleabag,2.0,4-Mar-19,313
57,Melanie McFarland,Salon,Fleabag,2.0,4-Mar-19,360
58,Alan Sepinwall,Rolling Stone,Fleabag,2.0,4-Mar-19,411
59,Brian Tallerico,RogerEbert.com,Fargo,2.0,12-Oct-15,415
60,Mark A. Perigard,Boston Herald,Fargo,2.0,12-Oct-15,315
61,Joanne Ostrow,Denver Post,Fargo,2.0,12-Oct-15,320
62,Ken Tucker,Yahoo TV,Fargo,2.0,12-Oct-15,327
63,Amber Dowling,The Wrap,Fargo,2.0,12-Oct-15,407
64,Tom Long,The Detroit News,Fargo,2.0,12-Oct-15,320
65,Brian Lowry,Variety,Fargo,2.0,12-Oct-15,350
66,David Wiegand,San Francisco Chronicle,Fargo,2.0,12-Oct-15,377
67,Tim Goodman,The Hollywood Reporter,Fargo,2.0,12-Oct-15,386
68,Molly Eichel,Philadelphia Inquirer,Fargo,2.0,12-Oct-15,316
69,Hank Stuever,Washington Post,Fargo,2.0,12-Oct-15,618
70,Spencer Kornhaber,The Atlantic,Catastrophe,3.0,28-Apr-17,301
71,Virginia Heffernan,The New York Times,The Staircase,1.0,4-Apr-05,307
72,Nathan Rabin,The A.V. Club,The Staircase,1.0,4-Apr-05,339
73,Tony Dokoupil,Newsweek,The Staircase,1.0,4-Apr-05,430
74,Matt Zoller Seitz,New York Magazine (Vulture),The Americans,4.0,16-Mar-16,344
75,Tim Goodman,The Hollywood Reporter,The Americans,4.0,16-Mar-16,425
76,Eric Thurm,Slate,The Americans,4.0,16-Mar-16,302
77,Verne Gay,Newsday,The Americans,4.0,16-Mar-16,410
78,Rob Owen,Pittsburgh Post-Gazette,The Americans,4.0,16-Mar-16,431
79,Cliff Froehlich,St. Louis Post-Dispatch,The Wire,2.0,1-Jun-03,378
80,Noel Holston,Newsday,The Wire,2.0,1-Jun-03,493
81,Steve Johnson,Chicago Tribune,The Wire,2.0,1-Jun-03,486
82,Lon Grahnke,Chicago Sun-Times,Homicide: Life on the Street,1.0,31-Jan-93,411
83,Monica Collins,Boston Herald,Homicide: Life on the Street,1.0,31-Jan-93,346
84,John J. O'Connor,The New York Times,Homicide: Life on the Street,1.0,31-Jan-93,501
85,Eric Mink,St. Louis Post-Dispatch,Homicide: Life on the Street,1.0,31-Jan-93,500
86,Judy Berman,Time,Better Things,3.0,28-Feb-19,341
87,James Poniewozik,The New York Times,Better Things,3.0,28-Feb-19,385
88,Alan Sepinwall,Rolling Stone,Better Things,3.0,28-Feb-19,369
89,Ben Travers,IndieWire,Better Things,3.0,28-Feb-19,370
90,Sophie Gilbert,The Atlantic,Better Things,3.0,28-Feb-19,313
91,Tim Goodman,The Hollywood Reporter,Better Things,3.0,28-Feb-19,420
92,Brian Tallerico,RogerEbert.com,Better Things,3.0,28-Feb-19,382
93,Emily Nussbaum,The New Yorker,Better Things,3.0,28-Feb-19,390
94,Kaitlin Thomas,Paste Magazine,Better Call Saul,6.0,18-Apr-22,397
95,Daniel D'Addario,Variety,Better Call Saul,6.0,18-Apr-22,457
96,Kayla Cobb,Decider,Better Call Saul,6.0,18-Apr-22,322
97,Nick Schager,The Daily Beast,Better Call Saul,6.0,18-Apr-22,370
98,Angie Han,The Hollywood Reporter,Better Call Saul,6.0,18-Apr-22,376
99,Kimberly Potts,The A.V. Club,Better Call Saul,6.0,18-Apr-22,353
100,Brian Lowry,Variety,Game of Thrones,4.0,6-Apr-14,393
101,Matt Roush,TV Guide Magazine,Game of Thrones,4.0,6-Apr-14,403
102,Matt Zoller Seitz,New York Magazine (Vulture),Game of Thrones,4.0,6-Apr-14,401
103,Mike Hale,The New York Times,Game of Thrones,4.0,6-Apr-14,356
104,Willa Paskin,Slate,Game of Thrones,4.0,6-Apr-14,373
105,Brian Lowry,CNN,Barry,3.0,24-Apr-22,372
106,Ben Travers,IndieWire,Barry,3.0,24-Apr-22,453
107,Dan Fienberg,The Hollywood Reporter,Barry,3.0,24-Apr-22,459
108,Kyle Mullin,Under The Radar,Barry,3.0,24-Apr-22,382
109,Brian Tallerico,The Playlist,Barry,3.0,24-Apr-22,436
110,Daniel D'Addario,Variety,Barry,3.0,24-Apr-22,308
111,Tim Goodman,The Hollywood Reporter,Transparent,2.0,4-Dec-15,360
112,Maureen Ryan,Variety,Transparent,2.0,4-Dec-15,423
113,Verne Gay,Newsday,Transparent,2.0,4-Dec-15,319
114,Margaret Lyons,New York Magazine (Vulture),Transparent,2.0,4-Dec-15,345
115,Ben Travers,IndieWire,Transparent,2.0,4-Dec-15,323
116,Ken Tucker,Yahoo TV,Transparent,2.0,4-Dec-15,387
117,Rob Owen,Pittsburgh Post-Gazette,Transparent,2.0,4-Dec-15,364
118,Daniel D'Addario,Variety,Better Things,5.0,28-Feb-22,307
119,Melanie McFarland,Salon,Better Things,5.0,28-Feb-22,353
120,Clint Worthington,RogerEbert.com,Better Things,5.0,28-Feb-22,478
122,Tim Goodman,The Hollywood Reporter,The Americans,5.0,7-Mar-17,500
123,Matt Zoller Seitz,New York Magazine (Vulture),The Americans,5.0,7-Mar-17,314
124,Alan Sepinwall,UPROXX,The Americans,5.0,7-Mar-17,348
125,Daniel D'Addario,Time,The Americans,5.0,7-Mar-17,342
126,Rob Owen,Pittsburgh Post-Gazette,The Americans,5.0,7-Mar-17,350
127,Alessandra Stanley,The New York Times,The Office (UK),2.0,30-Sep-02,313
128,Matthew Gilbert,Boston Globe,The Office (UK),2.0,30-Sep-02,386
129,Robert P. Laurence,San Diego Union-Tribune,The Office (UK),2.0,30-Sep-02,355
130,Alan Sepinwall,Newark Star-Ledger,The Office (UK),2.0,30-Sep-02,341
131,Paul Brownfield,Los Angeles Times,Deadwood,2.0,6-Mar-05,454
132,Maureen Ryan,Chicago Tribune,Deadwood,2.0,6-Mar-05,352
133,Phil Rosenthal,Chicago Sun-Times,Deadwood,2.0,6-Mar-05,634
134,Brian Tallerico,RogerEbert.com,City So Real,1.0,29-Oct-20,398
135,Brian Lowry,CNN,City So Real,1.0,29-Oct-20,380
136,Michael Phillips,Chicago Tribune,City So Real,1.0,29-Oct-20,378
137,Richard Roeper,Chicago Sun-Times,City So Real,1.0,29-Oct-20,321
138,Melanie McFarland,Salon,City So Real,1.0,29-Oct-20,439
139,John Anderson,Wall Street Journal,City So Real,1.0,29-Oct-20,356
140,Dan Fienberg,The Hollywood Reporter,PEN15,2.0,18-Sep-20,344
141,Allie Gemmill,Collider,PEN15,2.0,18-Sep-20,306
142,Hank Stuever,Washington Post,PEN15,2.0,18-Sep-20,408
143,Darren Franich,Entertainment Weekly,PEN15,2.0,18-Sep-20,372
144,Kevin Fallon,The Daily Beast,PEN15,2.0,18-Sep-20,402
145,Allegra Frank,Vox.com,PEN15,2.0,18-Sep-20,488
146,Jen Chaney,New York Magazine (Vulture),PEN15,2.0,18-Sep-20,455
147,Adam Buckman,New York Post,Curb Your Enthusiasm,3.0,15-Sep-02,315
148,David Bianculli,New York Daily News,Curb Your Enthusiasm,3.0,15-Sep-02,342
149,Dorothy Rabinowitz,Wall Street Journal,The Americans,6.0,28-Mar-18,327
150,Allison Keene,Collider,The Americans,6.0,28-Mar-18,445
151,Maureen Ryan,Variety,The Americans,6.0,28-Mar-18,373
152,Matt Zoller Seitz,New York Magazine (Vulture),The Americans,6.0,28-Mar-18,429
153,James Poniewozik,The New York Times,The Americans,6.0,28-Mar-18,391
154,Rob Owen,Pittsburgh Post-Gazette,The Americans,6.0,28-Mar-18,332
155,Ellen Gray,Philadelphia Daily News,Mad Men,4.0,25-Jul-10,336
156,Rob Owen,Pittsburgh Post-Gazette,Mad Men,4.0,25-Jul-10,303
157,Mike McDaniel,Houston Chronicle,The Shield,1.0,12-Mar-02,330
158,Robert P. Laurence,San Diego Union-Tribune,The Shield,1.0,12-Mar-02,345
159,Joanne Ostrow,Denver Post,The Shield,1.0,12-Mar-02,332
160,Linda Stasi,New York Post,The Shield,1.0,12-Mar-02,477
161,Scott D. Pierce,Deseret News,The Shield,1.0,12-Mar-02,497
162,Caryn James,The New York Times,The Shield,1.0,12-Mar-02,602
163,Michael Speier,Variety,The Shield,1.0,12-Mar-02,303
164,Hal Boedeker,Orlando Sentinel,The Shield,1.0,12-Mar-02,419
165,Charlie McCollum,San Jose Mercury News/Contra Costa Times,The Shield,1.0,12-Mar-02,449
166,Diane Werts,Newsday,The Shield,1.0,12-Mar-02,485
167,David Zurawik,Baltimore Sun,The Shield,1.0,12-Mar-02,450
168,David Bianculli,New York Daily News,The Shield,1.0,12-Mar-02,303
169,Mark Dawidziak,Cleveland Plain Dealer,The Shield,1.0,12-Mar-02,341
170,Daniel D'Addario,Variety,Better Call Saul,5.0,23-Feb-20,440
171,Dan Fienberg,The Hollywood Reporter,Better Call Saul,5.0,23-Feb-20,404
172,Brian Tallerico,RogerEbert.com,Better Call Saul,5.0,23-Feb-20,464
173,Liz Shannon Miller,Paste Magazine,Better Call Saul,5.0,23-Feb-20,396
174,Jen Chaney,New York Magazine (Vulture),Halt and Catch Fire,4.0,19-Aug-17,370
175,Nick Schager,The Daily Beast,The Staircase [2018 Version],1.0,8-Jun-18,393
176,Ken Tucker,Yahoo TV,The Americans,3.0,28-Jan-15,400
177,Brian Lowry,Variety,Rectify,2.0,19-Jun-14,316
178,Ellen Gray,Philadelphia Daily News,Homeland,1.0,2-Oct-11,315
179,Melanie McFarland,Salon,Succession,3.0,17-Oct-21,407
180,Brian Lowry,CNN,Succession,3.0,17-Oct-21,365
181,Kevin Fallon,The Daily Beast,Succession,3.0,17-Oct-21,431
182,Chris Bennion,The Telegraph,Succession,3.0,17-Oct-21,458
183,Matthew Gilbert,Boston Globe,Succession,3.0,17-Oct-21,359
184,Nina Metz,Chicago Tribune,Succession,3.0,17-Oct-21,346
185,Allison Keene,Paste Magazine,Succession,3.0,17-Oct-21,426
186,Daniel Fienberg & Angie Han,The Hollywood Reporter,Succession,3.0,17-Oct-21,461
187,Tracy Moore,Vanity Fair,My Brilliant Friend,2.0,16-Mar-20,641
188,Nancy DeWolf Smith,Wall Street Journal,My Brilliant Friend,2.0,16-Mar-20,336
189,Allison Keene,Collider,The Handmaid's Tale,1.0,30-Apr-17,501
190,Jen Chaney,New York Magazine (Vulture),The Handmaid's Tale,1.0,30-Apr-17,311
191,John Anderson,Wall Street Journal,The Handmaid's Tale,1.0,30-Apr-17,400
192,Josh Bell,Las Vegas Weekly,The Handmaid's Tale,1.0,30-Apr-17,354
193,Erik Adams,The A.V. Club,The Handmaid's Tale,1.0,30-Apr-17,469
194,Daniel D'Addario,Time,The Handmaid's Tale,1.0,30-Apr-17,326
195,Vicki Hyman,Newark Star-Ledger,The Handmaid's Tale,1.0,30-Apr-17,300
196,Alan Sepinwall,UPROXX,The Handmaid's Tale,1.0,30-Apr-17,313
197,Willa Paskin,Slate,The Handmaid's Tale,1.0,30-Apr-17,332
198,Zach Hollwedel,Under The Radar,The Handmaid's Tale,1.0,30-Apr-17,330
199,Melanie McFarland,Salon,The Handmaid's Tale,1.0,30-Apr-17,347
200,Ken Tucker,Yahoo TV,The Handmaid's Tale,1.0,30-Apr-17,312
201,Spencer Kornhaber,The Atlantic,Transparent,1.0,26-Sep-14,466
202,Rob Owen,Pittsburgh Post-Gazette,Transparent,1.0,26-Sep-14,338
203,Brian Tallerico,RogerEbert.com,Transparent,1.0,26-Sep-14,488
204,Matt Zoller Seitz,New York Magazine (Vulture),The Returned,1.0,31-Oct-13,303
205,Tom Shales,Washington Post,My So-Called Life,1.0,25-Aug-94,408
206,Ginny Holbert,Chicago Sun-Times,My So-Called Life,1.0,25-Aug-94,386
207,Ed Siegel,Boston Globe,My So-Called Life,1.0,25-Aug-94,389
208,David Hiltbrand,People Weekly,My So-Called Life,1.0,25-Aug-94,304
209,Ken Tucker,Entertainment Weekly,My So-Called Life,1.0,25-Aug-94,335
210,Allison Keene,Paste Magazine,Atlanta,3.0,24-Mar-22,381
211,Ross Bonaime,Collider,Atlanta,3.0,24-Mar-22,340
212,Cassie da Costa,Vanity Fair,Atlanta,3.0,24-Mar-22,374
213,Melanie McFarland,Salon,Atlanta,3.0,24-Mar-22,371
214,Darren Franich,Entertainment Weekly,Atlanta,3.0,24-Mar-22,319
215,Dan Fienberg,The Hollywood Reporter,Atlanta,3.0,24-Mar-22,437
216,Kelly Lawler,USA Today,Atlanta,3.0,24-Mar-22,364
217,Liam Mathews,TV Guide,Atlanta,3.0,24-Mar-22,486
218,James Poniewozik,The New York Times,Atlanta,3.0,24-Mar-22,370
219,Judy Berman,Time,Atlanta,3.0,24-Mar-22,367
220,James Poniewozik,The New York Times,Catastrophe,4.0,15-Mar-19,445
221,Tim Goodman,The Hollywood Reporter,Catastrophe,4.0,15-Mar-19,532
222,Robert Lloyd,Los Angeles Times,The Hollow Crown,1.0,20-Sep-13,480
223,Verne Gay,Newsday,Louie,5.0,9-Apr-15,310
224,Chris Cabin,Slant Magazine,Louie,5.0,9-Apr-15,321
225,Brian Lowry,Variety,Louie,5.0,9-Apr-15,403
226,Liz Shannon Miller,IndieWire,Louie,5.0,9-Apr-15,310
227,David Wiegand,San Francisco Chronicle,Louie,5.0,9-Apr-15,345
228,Mike Hale,The New York Times,Louie,5.0,9-Apr-15,454
229,Alan Sepinwall,Rolling Stone,This Is Going To Hurt,1.0,2-Jun-22,332
230,Judy Berman,Time,This Is Going To Hurt,1.0,2-Jun-22,352
231,Nick Allen,RogerEbert.com,This Is Going To Hurt,1.0,2-Jun-22,361
232,Joy Press,Vanity Fair,This Is Going To Hurt,1.0,2-Jun-22,344
233,Lucy Mangan,The Guardian,This Is Going To Hurt,1.0,2-Jun-22,387
234,Lauren J. Coates,The Playlist,This Is Going To Hurt,1.0,2-Jun-22,348
235,Shane Ryan,Paste Magazine,This Is Going To Hurt,1.0,2-Jun-22,404
236,Kevin Fallon,The Daily Beast,This Is Going To Hurt,1.0,2-Jun-22,342
237,Mark Dawidziak,Cleveland Plain Dealer,Game of Thrones,5.0,12-Apr-15,308
238,Mike Hale,The New York Times,Game of Thrones,5.0,12-Apr-15,324
239,Tim Goodman,The Hollywood Reporter,Game of Thrones,5.0,12-Apr-15,508
240,Emily VanDerWerff,Vox.com,Game of Thrones,5.0,12-Apr-15,302
241,Melissa Maerz,Entertainment Weekly,Game of Thrones,5.0,12-Apr-15,309
242,Alan Sepinwall,Hitfix,Game of Thrones,5.0,12-Apr-15,327
243,Ellen Gray,Philadelphia Daily News,Game of Thrones,5.0,12-Apr-15,330
244,David Sims,The Atlantic,Master of None,1.0,6-Nov-15,391
245,Rob Owen,Pittsburgh Post-Gazette,Master of None,1.0,6-Nov-15,309
246,Jen Chaney,New York Magazine (Vulture),BoJack Horseman,6.5,31-Jan-20,439
247,Ben Travers,IndieWire,BoJack Horseman,6.5,31-Jan-20,438
248,Dave Trumbore,Collider,BoJack Horseman,6.5,31-Jan-20,357
249,Ed Cumming,The Independent,BoJack Horseman,6.5,31-Jan-20,475
250,Stuart Jeffries,The Guardian,BoJack Horseman,6.5,31-Jan-20,301
251,Matthew Gilbert,Boston Globe,Master of None,2.0,12-May-17,368
252,Michael Haigis,Slant Magazine,Master of None,2.0,12-May-17,414
253,David Wiegand,San Francisco Chronicle,Master of None,2.0,12-May-17,317
254,Sonia Saraiya,Variety,Master of None,2.0,12-May-17,356
255,Erik Adams,The A.V. Club,Master of None,2.0,12-May-17,426
256,Emily VanDerWerff,Vox.com,Master of None,2.0,12-May-17,306
257,Mark A. Perigard,Boston Herald,Master of None,2.0,12-May-17,316
258,Chris Cabin,Collider,Master of None,2.0,12-May-17,396
259,Willa Paskin,Salon,Borgen,1.0,29-Oct-11,378
260,Maureen Ryan,The Huffington Post,Justified,2.0,9-Feb-11,360
261,Mike Hale,The New York Times,Broadchurch,1.0,7-Aug-13,380
262,Rob Owen,Pittsburgh Post-Gazette,Broadchurch,1.0,7-Aug-13,334
263,Matt Zoller Seitz,New York Magazine (Vulture),Broadchurch,1.0,7-Aug-13,564
264,Matt Roush,TV Guide Magazine,Broadchurch,1.0,7-Aug-13,300
265,Nancy DeWolf Smith,Wall Street Journal,Broadchurch,1.0,7-Aug-13,339
266,Brian Lowry,Variety,Frozen Planet,1.0,26-Oct-11,311
267,Mike Hale,The New York Times,Frozen Planet,1.0,26-Oct-11,421
268,Mary McNamara,Los Angeles Times,Sherlock,2.0,1-Jan-12,331
269,Chris Cabin,Slant Magazine,Game of Thrones,3.0,31-Mar-13,333
270,Maureen Ryan,The Huffington Post,Game of Thrones,3.0,31-Mar-13,320
271,Ellen Gray,Philadelphia Daily News,Downton Abbey,1.0,26-Sep-10,351
272,Mark Dawidziak,Cleveland Plain Dealer,Downton Abbey,1.0,26-Sep-10,334
273,Peter Swanson,Slant Magazine,Downton Abbey,1.0,26-Sep-10,484
274,David Wiegand,San Francisco Chronicle,The Zen Diaries of Garry Shandling,1.0,26-Mar-18,347
275,Steve Greene,IndieWire,The Zen Diaries of Garry Shandling,1.0,26-Mar-18,365
276,Sophie Gilbert,The Atlantic,The Zen Diaries of Garry Shandling,1.0,26-Mar-18,442
277,Dan Fienberg,The Hollywood Reporter,The Zen Diaries of Garry Shandling,1.0,26-Mar-18,325
278,Darren Ruecker,We Got This Covered,Transparent,3.0,23-Sep-16,403
279,David Rooney,The Hollywood Reporter,Transparent,3.0,23-Sep-16,386
280,Melanie McFarland,Salon,Transparent,3.0,23-Sep-16,328
281,Jack Seale,The Guardian,Last Chance U: Basketball,1.0,10-Mar-21,304
282,Dan Fienberg,The Hollywood Reporter,Last Chance U: Basketball,1.0,10-Mar-21,538
283,Jen Chaney,New York Magazine (Vulture),Last Chance U: Basketball,1.0,10-Mar-21,490
284,Aaron Barnhart,Primetimer,Last Chance U: Basketball,1.0,10-Mar-21,302
285,Jen Chaney,New York Magazine (Vulture),Big Mouth,2.0,5-Oct-18,413
286,Ben Travers,IndieWire,Big Mouth,2.0,5-Oct-18,341
287,Erik Adams,The A.V. Club,Big Mouth,2.0,5-Oct-18,333
288,Alan Sepinwall,Rolling Stone,Big Mouth,2.0,5-Oct-18,381
289,Emily VanDerWerff,Vox.com,Big Mouth,2.0,5-Oct-18,481
290,Brian Tallerico,RogerEbert.com,Big Mouth,2.0,5-Oct-18,317
291,Dave Trumbore,Collider,Big Mouth,2.0,5-Oct-18,322
292,Nancy DeWolf Smith,Wall Street Journal,The Night Of,1.0,10-Jul-16,316
293,Marlow Stern,The Daily Beast,The Night Of,1.0,10-Jul-16,383
294,Joshua Alston,The A.V. Club,The Night Of,1.0,10-Jul-16,333
295,Vicki Hyman,Newark Star-Ledger,The Night Of,1.0,10-Jul-16,344
296,Verne Gay,Newsday,The Night Of,1.0,10-Jul-16,306
297,Tim Grierson,The Wrap,The Night Of,1.0,10-Jul-16,302
298,Ben Travers,IndieWire,The Night Of,1.0,10-Jul-16,328
299,Mary McNamara,Los Angeles Times,The Night Of,1.0,10-Jul-16,330
300,David Wiegand,San Francisco Chronicle,The Night Of,1.0,10-Jul-16,457
301,Matt Zoller Seitz,New York Magazine (Vulture),The Night Of,1.0,10-Jul-16,305
302,Chuck Bowen,Slant Magazine,The Night Of,1.0,10-Jul-16,421
303,Willa Paskin,Slate,The Night Of,1.0,10-Jul-16,453
304,Dan Fienberg,The Hollywood Reporter,The Night Of,1.0,10-Jul-16,338
305,Josh Bell,Las Vegas Weekly,The Night Of,1.0,10-Jul-16,429
306,Wesley Morris,The New York Times,The Last Dance,1.0,19-Apr-20,363
307,Steve Greene,IndieWire,The Last Dance,1.0,19-Apr-20,360
308,Jen Chaney,New York Magazine (Vulture),The Last Dance,1.0,19-Apr-20,324
309,Robert Daniels,Consequence,The Last Dance,1.0,19-Apr-20,321
310,David Wiegand,San Francisco Chronicle,Atlanta,1.0,6-Sep-16,304
311,Matthew Gilbert,Boston Globe,Atlanta,1.0,6-Sep-16,441
312,Isaac Feldberg,We Got This Covered,Atlanta,1.0,6-Sep-16,368
313,Ellen Gray,Philadelphia Inquirer,Atlanta,1.0,6-Sep-16,307
314,Allison Keene,Collider,Atlanta,1.0,6-Sep-16,372
315,Howard Rosenberg,Los Angeles Times,The Corner,1.0,16-Apr-00,364
316,Matthew Gilbert,Boston Globe,The Corner,1.0,16-Apr-00,433
317,Ed Bark,Dallas Morning News,The Corner,1.0,16-Apr-00,538
318,Caryn James,The New York Times,The Corner,1.0,16-Apr-00,417
319,Liz Shannon Miller,IndieWire,BoJack Horseman,2.0,17-Jul-15,328
320,Melanie McFarland,Seattle Post-Intelligencer,Rescue Me,3.0,30-May-06,361
321,Mike Duffy,Detroit Free Press,Rescue Me,3.0,30-May-06,357
322,Mark Dawidziak,Cleveland Plain Dealer,Rescue Me,3.0,30-May-06,375
323,Maureen Ryan,The Huffington Post,Louie,2.0,23-Jun-11,332
324,Emily VanDerWerff,Vox.com,The People v. O.J. Simpson: American Crime Story,1.0,2-Feb-16,427
325,Daniel D'Addario,Time,The People v. O.J. Simpson: American Crime Story,1.0,2-Feb-16,459
326,Matt Zoller Seitz,New York Magazine (Vulture),The People v. O.J. Simpson: American Crime Story,1.0,2-Feb-16,372
327,Joshua Alston,The A.V. Club,The People v. O.J. Simpson: American Crime Story,1.0,2-Feb-16,365
328,David Sims,The Atlantic,The People v. O.J. Simpson: American Crime Story,1.0,2-Feb-16,309
329,Rob Owen,Pittsburgh Post-Gazette,The People v. O.J. Simpson: American Crime Story,1.0,2-Feb-16,522
330,David Wiegand,San Francisco Chronicle,The People v. O.J. Simpson: American Crime Story,1.0,2-Feb-16,328
331,Ed Gonzalez,Slant Magazine,The People v. O.J. Simpson: American Crime Story,1.0,2-Feb-16,326
332,Robert Lloyd,Los Angeles Times,The People v. O.J. Simpson: American Crime Story,1.0,2-Feb-16,375
333,Ken Tucker,Yahoo TV,The People v. O.J. Simpson: American Crime Story,1.0,2-Feb-16,310
334,Mitchel Broussard,We Got This Covered,Insecure,2.0,23-Jul-17,382
335,Chris Cabin,Collider,Insecure,2.0,23-Jul-17,303
336,Matt Zoller Seitz,New York Magazine (Vulture),Insecure,2.0,23-Jul-17,318
337,Ben Travers,IndieWire,Insecure,2.0,23-Jul-17,359
338,Willa Paskin,Salon,Game of Thrones,2.0,1-Apr-12,427
339,Maureen Ryan,The Huffington Post,Game of Thrones,2.0,1-Apr-12,336
340,John Anderson,Wall Street Journal,The Vietnam War,1.0,17-Sep-17,366
341,Kristi Turnquist,The Oregonian,The Vietnam War,1.0,17-Sep-17,425
342,Glenn Garvin,Reason.com,The Vietnam War,1.0,17-Sep-17,397
343,Rob Owen,Pittsburgh Post-Gazette,The Vietnam War,1.0,17-Sep-17,393
344,Melanie McFarland,Salon,The Vietnam War,1.0,17-Sep-17,372
345,Ed Bark,Uncle Barky,The Vietnam War,1.0,17-Sep-17,352
346,Sonia Saraiya,Variety,The Vietnam War,1.0,17-Sep-17,374
347,Matt Brennan,Slant Magazine,Veep,4.0,29-Apr-12,362
348,Brian Lowry,Variety,Veep,4.0,29-Apr-12,390
349,Emily VanDerWerff,Vox.com,American Crime,3.0,12-Mar-17,336
350,Lorraine Ali,Los Angeles Times,American Crime,3.0,12-Mar-17,320
351,Ellen Gray,Philadelphia Daily News,American Crime,3.0,12-Mar-17,452
